text,author
A week or two will I hope determine our Measures—in the mean time believe me  and etc—and etc—Charlotte Lutterell.,Jane Austen
"He ordered the drinks all round, and asked who No.",Mark_Twain
It has been a very easy one.,Charles Dickens
"They went back to the palace, the eunuchs following slowly behind and plucking the sweet mulberries from the trees as they passed.",Oscar Wilde
"Hence we erase all optional marks in the 1st and 3rd rows, but let them stand in the 2nd.",Lewis Caroll
"Their special council-chamber and hall of conference was an old back room up stairs, with a low dark ceiling, which seemed to be knitting its brows gloomily in the consideration of tangled points of law.",Charles Dickens
"Are not beauty, and wit, and mien, and breeding their inseparable proprieties?",Jonathan Swift
"The car shuffles unsympathetically down the street, and the evicted is stranded in Dhurrumtollah, which may be the Hammersmith Highway of Calcutta.",Rudyard Kipling
"""Is he gone?""",Charles Dickens
"“It is but a ring of lead,” he cried, “nor has it any value.",Oscar Wilde
Bit by bit.,Rudyard Kipling
"The Kings last wife contrived to survive him, but with difficulty effected it.",Jane Austen
Enter Trebonius.,William Shakespeare
"And so trouble not thyself any more, but come with me to this city.’  But the young Fisherman answered not his Soul, but closed his lips with the seal of silence and with a tight cord bound his hands, and journeyed back to the place from which he had come, even to the little bay where his love had been wont to sing.",Oscar Wilde
“No real gentleman will tell the naked truth      in the presence of ladies”.,Mark_Twain
[Exeunt.],William Shakespeare
FOURTH CITIZEN.,William Shakespeare
"When the result is not thus connected with the varying elements, the Problem ceases to be Double Rule of Three and often becomes one of great complexity.",Lewis Caroll
"""Some few years of nursing by Self and Craggs would bring it round.",Charles Dickens
A TALE.,Jane Austen
"Agreeable villages lay here and there on the slope of the hill; notably, Tupigny, with the hop-poles hanging their garlands in the very street, and the houses clustered with grapes.",Robert Louis Stevenson
"But we thumbed our charts, on these evenings, with the blankest unconcern.",Robert Louis Stevenson
Miss Greville laughed but I am sure Ellen felt for me.,Jane Austen
"That done, repair to Pompey’s theatre.",William Shakespeare
"""If Mr. Craggs had been alive, my dear Miss Marion,"" said Mr. Snitchey, ""he would have had great interest in this occasion.",Charles Dickens
SECOND CITIZEN.,William Shakespeare
Enter Servant.,William Shakespeare
"Mother, I rejected thee.",Oscar Wilde
It would be endless to recount the misfortunes of this noble and gallant Earl.,Jane Austen
"Such men as he be never at heart’s ease Whiles they behold a greater than themselves, And therefore are they very dangerous.",William Shakespeare
"Pardon, Caesar; Caesar, pardon: As low as to thy foot doth Cassius fall, To beg enfranchisement for Publius Cimber.",William Shakespeare
"‘After a little while he spake to me, and asked me my desire.",Oscar Wilde
"I am also happy that fate has flung me into so blessed an age for the mutual felicity of booksellers and authors, whom I may safely affirm to be at this day the two only satisfied parties in England.",Jonathan Swift
He would infallibly be drowned.,Lewis Caroll
“Now don’t go talking about ‘domiciliary visits’ just because this one happens to be a pretty woman.,Rudyard Kipling
"The thick, greasy night shuts in everything.",Rudyard Kipling
"Moy (pronounce Moÿ) was a pleasant little village, gathered round a château in a moat.",Robert Louis Stevenson
CLAUDIUS.,William Shakespeare
"I should not need, if you were gentle Brutus.",William Shakespeare
"""Of course not.",Charles Dickens
"The town was full of the military reserve, out for the French Autumn Manœuvres, and the reservists walked speedily and wore their formidable great-coats.",Robert Louis Stevenson
Peter put these bulls upon several employs.,Jonathan Swift
"‘The robbers stole thee from me, and left thee to die,’ she murmured, ‘but I recognised thee when I saw thee, and the signs also have I recognised, the cloak of golden tissue and the amber chain.",Oscar Wilde
To each shrine she dedicated an equal number of beads and an equal length of time.,Robert Louis Stevenson
They remind me of Augustus.,Jane Austen
"I wonder you care to repeat such rubbish!""",Lewis Caroll
"I HAVE sometimes heard of an Iliad in a nut-shell, but it has been my fortune to have much oftener seen a nut-shell in an Iliad.",Jonathan Swift
But it's being made far too easy.,Charles Dickens
A. C. M.    ARVON MARLBOROUGH BOY.,Lewis Caroll
Do you know what else it has been doing?,Charles Dickens
THE REFLECTIONS OF A SAVAGE.,Rudyard Kipling
A pause follows the black-bearded man’s speech.,Rudyard Kipling
OLD CAT assumes that the house must be No.,Lewis Caroll
You must know that I have for these 4 or 5 Days past strongly suspected William of entertaining a partiality to my eldest Daughter.,Jane Austen
"""It was,"" said Mr. Craggs.",Charles Dickens
"For though it should revisit the same acre of meadow in the same hour, it will have made an ample sweep between-whiles; many little streams will have fallen in; many exhalations risen towards the sun; and even although it were the same acre, it will no more be the same river of Oise.",Robert Louis Stevenson
"‘Because his heart is broken,’ answered the Chamberlain.",Oscar Wilde
“Who’s that”?,Rudyard Kipling
Exit Chloe and Chorus.—  SCENE CHANGES TO THE INSIDE OF THE LION.,Jane Austen
said Hugh.,Lewis Caroll
Then said the voice of the authority: “He’s down in connection with a cheating case at Serampore.,Rudyard Kipling
‘In the fourth month we reached the city of Illel.,Oscar Wilde
"This is quite correct working, but not, I think, quite the best way of doing it.",Lewis Caroll
The wild birds that roam through the forest have their freedom.,Oscar Wilde
“And served him damned well right”!,Mark_Twain
"There is Papa with a shining black hat fit for a counsellor of the Queen, and Mamma, whose silken attire is tight upon her portly figure, and The Brood made up of straw-hatted, olive-cheeked, sharp-eyed little boys, and leggy maidens wearing white, open-work stockings calculated to show dust.",Rudyard Kipling
"Therefore am I come to thee, though men call thee evil, and whatever be thy price I shall pay it.’  ‘What wouldst thou?’ asked the Witch, coming near to him.",Oscar Wilde
Then the mud made up behind her.,Rudyard Kipling
"And he felt glad, and understood not why he was glad.",Oscar Wilde
"""I think it will be better not to hear this, Mr.",Charles Dickens
"All the time, the river stole away like a thief in straight places, or swung round corners with an eddy; the willows nodded, and were undermined all day long; the clay banks tumbled in; the Oise, which had been so many centuries making the Golden Valley, seemed to have changed its fancy, and be bent upon undoing its performance.",Robert Louis Stevenson
"Wisdom is a hen whose cackling we must value and consider, because it is attended with an egg.",Jonathan Swift
"In the old days he was greater than he is now, but still he bulks large.",Rudyard Kipling
Weariness will overtake it then.,Mark_Twain
"It seems they weighed the sacks two at a time!""",Lewis Caroll
"And I will give thee camels and camel drivers, and they shall do thy bidding and take thy share of the treasure to whatever part of the world thou desirest to go.",Oscar Wilde
"""Hearty, Clemmy, hearty"".",Charles Dickens
A DIGRESSION IN THE MODERN KIND.,Jonathan Swift
A horrible odour filled the place.,Oscar Wilde
Let us hope it will be a lesson to him.,Robert Louis Stevenson
Can it be that I have a greater affection for Willoughby than I had for his amiable predecessors?,Jane Austen
And what have we to do with the lives of those who toil for us?,Oscar Wilde
Sir  I am now availing myself of the Liberty you have frequently honoured me with of dedicating one of my Novels to you.,Jane Austen
"Here sometimes they would linger, of a fine evening, at the window of their council-chamber, overlooking the old battle-ground, and wonder (but that was generally at assize time, when much business had made them sentimental) at the folly of mankind, who couldn't always be at peace with one another, and go to law comfortably.",Charles Dickens
"I have a notion that open-air labourers must spend a large portion of their days in this ecstatic stupor, which explains their high composure and endurance.",Robert Louis Stevenson
"Some of the niches are gilt and painted; and in a great square panel in the centre, in black relief on a gilt ground, Louis XII.",Robert Louis Stevenson
"And the young King came down from the high altar, and passed home through the midst of the people.",Oscar Wilde
"This unknown author hath so exhausted the subject, that a penetrating reader will easily discover whatever has been written since upon that dispute to be little more than repetition.",Jonathan Swift
"And the people laughed and said, ‘It is the King’s fool who is riding by,’ and they mocked him.",Oscar Wilde
"Pray, good people, give way a little.",Jonathan Swift
"This work, containing three large volumes in folio, I design very shortly to publish by the modern way of subscription, not doubting but the nobility and gentry of the land will give me all possible encouragement, having already had such a taste of what I am able to perform.",Jonathan Swift
"He would make her a necklace of red bryony berries, that would be quite as pretty as the white berries that she wore on her dress, and when she was tired of them, she could throw them away, and he would find her others.",Oscar Wilde
"Tell me how I can send my soul away from me, for in truth I have no need of it.",Oscar Wilde
"it's impossible to speak gravely of it on this preposterous and ridiculous business called Life, every minute?""",Charles Dickens
"‘Here I am,’ said he.",Robert Louis Stevenson
"I have gone on for half an hour at a time, counting my strokes and forgetting the hundreds.",Robert Louis Stevenson
Mr. Britain remembered very well.,Charles Dickens
Mistrust of good success hath done this deed.,William Shakespeare
"And more than that, he had to agree with the verdicts and applaud them.",Mark_Twain
DARDANIUS.,William Shakespeare
"""Don't flatter yourself"".",Charles Dickens
"Yes, I said, if there were no other reason, I would do it now, just because he had dared to say we could not.",Robert Louis Stevenson
"""Does it always succeed?""",Lewis Caroll
He thought of a shot in the back in a lonely place when Flint would be homeward-bound at midnight his unvarying hour for the trip.,Mark_Twain
"How often he had thought of this time pictured it under all circumstances feared that it might never come yearned, and wearied for it far away!",Charles Dickens
"The baker stands in his door; the colonel with his three medals goes by to the café at night; the troops drum and trumpet and man the ramparts, as bold as so many lions.",Robert Louis Stevenson
"The snows of many winter nights had melted from that ground, the withered leaves of many summer times had rustled there, since she had fled.",Charles Dickens
"It is now four years since my removal from School has separated me from you; that two such tender Hearts, so closely linked together by the ties of simpathy and Freindship, should be so widely removed from each other, is vastly moving.",Jane Austen
The speech continues.,Rudyard Kipling
"Pale poppies were broidered on the silk coverlet of the bed, as though they had fallen from the tired hands of sleep, and tall reeds of fluted ivory bare up the velvet canopy, from which great tufts of ostrich plumes sprang, like white foam, to the pallid silver of the fretted ceiling.",Oscar Wilde
"In the name of the Sacred Unities do not, young people, retire to the meat-stalls to exchange confidences!",Rudyard Kipling
It’s a pity we hadn’t a hell to show you.,Rudyard Kipling
"Here is a big and stately tomb sacred to “Lucia,” who died in 1776 A.D., aged 23.",Rudyard Kipling
CASCA.,William Shakespeare
"As the moment approached for our departure, you can have no idea how the sweet Creatures trembled with fear and expectation.",Jane Austen
FIRST SOLDIER.,William Shakespeare
It drew blood.,Mark_Twain
Though it is an improvable Estate—.,Jane Austen
"For this great blessing we are wholly indebted to systems and abstracts, in which the modern fathers of learning, like prudent usurers, spent their sweat for the ease of us their children.",Jonathan Swift
Never certainly were there before so many detestable Characters at one time in England as in this Period of its History; never were amiable men so scarce.,Jane Austen
And he ”  “'Sh!,Mark_Twain
"Solving this Quadratic, we find x = 60.",Lewis Caroll
I may say thrusting it; For piercing steel and darts envenomed Shall be as welcome to the ears of Brutus As tidings of this sight.,William Shakespeare
Thus physicians discover the state of the whole body by consulting only what comes from behind.,Jonathan Swift
"But the leper saw him coming, and ran to meet him, and knelt down and cried, ‘Give me a piece of money or I shall die of hunger.’  And the Star-Child said to him, ‘I have in my wallet but one piece of yellow gold, and if I bring it not to my master he will beat me and keep me as his slave.’  But the leper entreated him sore, so that the Star-Child had pity on him, and gave him the piece of yellow gold.",Oscar Wilde
"Let me tell you, Cassius, you yourself Are much condemn’d to have an itching palm, To sell and mart your offices for gold To undeservers.",William Shakespeare
"Of these, one is wrong, GALANTHUS NIVALIS MAJOR, who insists on inviting two guests, one being the Governor's wife's brother's father.",Lewis Caroll
DECIUS.,William Shakespeare
Accept me in the hour of my humility.,Oscar Wilde
G. S. C.    X.,Lewis Caroll
"At any moment it might be a hundred feet away from you, climbing the next billow.",Robert Louis Stevenson
There is something highly absurd in the exposition of such toys to the outrages of winter on a housetop.,Robert Louis Stevenson
"Balbus gaily exclaimed, as he put pens, ink, and paper before his hapless pupils, and left the room.",Lewis Caroll
"""There'll be another job for Snitchey and Craggs, I suppose,"" he observed, puffing slowly at his pipe.",Charles Dickens
"""Only think!""",Charles Dickens
"‘For the future let those who come to play with me have no hearts,’ she cried, and she ran out into the garden.",Oscar Wilde
"our fathers’ minds are dead, And we are govern’d with our mothers’ spirits; Our yoke and sufferance show us womanish.",William Shakespeare
"In a few moments the cloth began to move, and as the pipe grew shriller and shriller two green and gold snakes put out their strange wedge-shaped heads and rose slowly up, swaying to and fro with the music as a plant sways in the water.",Oscar Wilde
"""I thought the news would dry those tears.",Charles Dickens
"Adeiu my dear Charlotte; Matilda unites in best wishes to you, and Eloisa, with yours ever  M. L.     LETTER the SIXTH LADY LESLEY to Miss CHARLOTTE LUTTERELL   Lesley-Castle March 20th  We arrived here my sweet Freind about a fortnight ago, and I already heartily repent that I ever left our charming House in Portman-square for such a dismal old weather-beaten Castle as this.",Jane Austen
At eight o'clock that evening two persons were groping their way past Flint Buckner's cabin in the frosty gloom.,Mark_Twain
"The man writhed like a trampled snake, and a red foam bubbled from his lips.",Oscar Wilde
"‘Loose me,’ she cried, ‘and let me go.",Oscar Wilde
"I will ask you all to pass one by one in front of me here, where there is a good light so that I can see your feet”.",Mark_Twain
FINIS   Saturday Nov: 26th 1791.,Jane Austen
"He muttered to himself,  “Uncle Sherlock!",Mark_Twain
Writers’ Buildings are large.,Rudyard Kipling
"On honor, now is he telling me true, boys”?",Mark_Twain
I can trust him to remain here until we disturb him.,Mark_Twain
"I do not doubt but that the healthy air of the Bristol downs will intirely remove it, by erasing from her Mind the remembrance of Henry.",Jane Austen
"Upon all which we think it very unbecoming our prudence that the determination should be remitted to the authors themselves, when our adversaries by briguing and caballing have caused so universal a defection from us, that the greatest part of our society has already deserted to them, and our nearest friends begin to stand aloof, as if they were half ashamed to own us.",Jonathan Swift
Their report of the state of things was discouraging.,Lewis Caroll
Wild chuprassis block the way.,Rudyard Kipling
"The Doctor's reflections, as he looked after them, and heard the purport of their discourse, were limited, at first, to certain merry meditations on the folly of all loves and likings, and the idle imposition practised on themselves by young people, who believed, for a moment, that there could be anything serious in such bubbles, and were always undeceived always!",Charles Dickens
"That of the shoulder-knots was a loose, flying, circumstantial point, but this of gold lace seemed too considerable an alteration without better warrant.",Jonathan Swift
"Why had they not left him in the forest, where there was no mirror to tell him how loathsome he was?",Oscar Wilde
We brought it out from England exactly as we brought out the ink bottles and the patterns for the chairs.,Rudyard Kipling
"We sow the corn, and our own board is empty.",Oscar Wilde
"There is a seat for the Reporters, and that is all.",Rudyard Kipling
I did not think you could have been so angry.,William Shakespeare
"He picks up a discharge and calls for Michael Donelly, who is a loose-knit, vicious-looking Irish-American who chews.",Rudyard Kipling
A tree would never have spoken to me like this.,Robert Louis Stevenson
"Go, go, good countrymen, and, for this fault Assemble all the poor men of your sort, Draw them to Tiber banks, and weep your tears Into the channel, till the lowest stream Do kiss the most exalted shores of all.",William Shakespeare
"Through the streets of the cities walks Famine, and the Plague sits at their gates.",Oscar Wilde
"Lord Peter was also held the original author of puppets and raree-shows, the great usefulness whereof being so generally known, I shall not enlarge farther upon this particular.",Jonathan Swift
"Let ""a"" be the distance an omnibus goes in 15 minutes, and ""x"" the distance from the starting-point to where the traveller is overtaken.",Lewis Caroll
"But in this latter I differ extremely from other writers, and shall be too proud if, by all my labours, I can have any ways contributed to the repose of mankind in times so turbulent and unquiet as these.",Jonathan Swift
"Oh, God!",Charles Dickens
"The dear Creature is just turned of two years old; as handsome as tho’ 2 and 20, as sensible as tho’ 2 and 30, and as prudent as tho’ 2 and 40.",Jane Austen
"The morning after our arrival at the Cottage, Sophia complained of a violent pain in her delicate limbs, accompanied with a disagreable Head-ake She attributed it to a cold caught by her continued faintings in the open air as the Dew was falling the Evening before.",Jane Austen
"The chief idol was also worshipped as the inventor of the yard and the needle, whether as the god of seamen, or on account of certain other mystical attributes, hath not been sufficiently cleared.",Jonathan Swift
"said Hugh, looking in some perplexity at a square brass plate which bore the simple inscription ""RING ALSO"".",Lewis Caroll
They had sufficiently strained a point already in the affair of shoulder-knots.,Jonathan Swift
"They are, despite the wearing climate they work in and the wearing work they do, as fine five-score of Englishmen as you shall find east of Suez.",Rudyard Kipling
with every breath of air.,Charles Dickens
"He had called to her once in the valley, and she had answered him word for word.",Oscar Wilde
"The most accomplished way of using books at present is twofold: either first to serve them as some men do lords, learn their titles exactly, and then brag of their acquaintance; or, secondly, which is indeed the choicer, the profounder, and politer method, to get a thorough insight into the index by which the whole book is governed and turned, like fishes by the tail.",Jonathan Swift
"Nothing, my lord.",William Shakespeare
"Good morning, gentlemen"".",Charles Dickens
"(said my Mother,) “The sooner the better”.",Jane Austen
Never shall it be said that I obliged my Father”.,Jane Austen
The little man in the black choga revels in his subject.,Rudyard Kipling
"‘I could never forget the generosity of that lady,’ said he.",Robert Louis Stevenson
"Fuller got out and took a seat on a barrow under the awning, as far as he could get from the light; I went inside, and watched the ticket-office.",Mark_Twain
"For whether long or short the time      Upon the hill they spent,    Two thirds were passed in going up,      One third in the descent.",Lewis Caroll
I will hear Brutus speak.,William Shakespeare
"His cheerfulness was all gone, and he looked old and pinched and ashy.",Mark_Twain
"His inveterate malice is such to the writings of our age, that, of several thousands produced yearly from this renowned city, before the next revolution of the sun there is not one to be heard of.",Jonathan Swift
The same.,William Shakespeare
"""That's all,"" said Mr. Snitchey, turning up the last paper.",Charles Dickens
"Now as you are a Roman, tell me true.",William Shakespeare
“I never saw a piece of mutton in my life so nearly resembling a slice from a twelve-penny loaf”.,Jonathan Swift
"The nightmare illusion of middle age, the bear’s hug of custom gradually squeezing the life out of a man’s soul, had not yet begun for these happy-starred young Belgians.",Robert Louis Stevenson
Would he be offended?,Rudyard Kipling
"Neither can the Bench itself, though raised to a proper eminency, put in a better claim, whatever its advocates insist on.",Jonathan Swift
"Jack had not only calculated the first revolution of his brain so prudently as to give rise to that epidemic sect of Æolists, but succeeding also into a new and strange variety of conceptions, the fruitfulness of his imagination led him into certain notions which, although in appearance very unaccountable, were not without their mysteries and their meanings, nor wanted followers to countenance and improve them.",Jonathan Swift
"“Come to a vote, men”!",Mark_Twain
"“The long-expected Moment is now arrived (said she) and we shall soon be in the World”.—In a few Moments we were in Mrs Cope’s parlour, where with her daughter she sate ready to receive us.",Jane Austen
But I cannot pause till I have lamented the fate of our two ships.,Robert Louis Stevenson
"He has only answered half the question, viz.",Lewis Caroll
MAD MATHESIS.,Lewis Caroll
“That's so.,Mark_Twain
"""Mhruxi, sir"".",Lewis Caroll
There are also the young women with the beautiful eyes and the wonderful dresses which always fit so badly across the shoulders.,Rudyard Kipling
"Thus the marks for lightness are 1/5, 5/3, 1.",Lewis Caroll
"Men were wont to come and look at the hat, in its palmy days, for the sake of feeling homesick.",Rudyard Kipling
"The accident has happened on board My ship, and under My orders.",Lewis Caroll
"I will not say that I am six years wiser than I was, or better.",Charles Dickens
"Here is a quiet room full of pens and papers, and there are men who must listen to him.",Rudyard Kipling
The returning tide knocked her into it.,Rudyard Kipling
"""between 12 and 13"".)",Lewis Caroll
"When a ship goes round the world from east to west, we know that it loses a day in its reckoning: so that when it gets home, and calls its day Wednesday, it finds people here calling it Thursday, because we've had one more midnight than the ship has had.",Lewis Caroll
"“How,” said Peter, appearing in great surprise, “I do not comprehend this at all;” upon which the younger, interposing to set the business right, “My Lord,” said he, “my brother, I suppose, is hungry, and longs for the mutton your Lordship hath promised us to dinner”.",Jonathan Swift
"If there be any in this assembly, any dear friend of Caesar’s, to him I say that Brutus’ love to Caesar was no less than his.",William Shakespeare
"The youngest, Mary, married first the King of France and secondly the D. of Suffolk, by whom she had one daughter, afterwards the Mother of Lady Jane Grey, who tho’ inferior to her lovely Cousin the Queen of Scots, was yet an amiable young woman and famous for reading Greek while other people were hunting.",Jane Austen
and he swiftly traced upon the ground a form with his finger.,Mark_Twain
And Marion.,Charles Dickens
"All followed the sprint she made for the wickieup, and saw, with her, the picture its interior afforded.",Mark_Twain
"’Tis good you know not that you are his heirs; For if you should, O, what would come of it?",William Shakespeare
Indeed they are sweet Girls—.,Jane Austen
I will produce two instances to prove and explain what I am now advancing.,Jonathan Swift
"Hear me, for I will speak.",William Shakespeare
(cried I) how canst thou thus undauntedly endeavour to sully the spotless reputation of such bright Excellence?,Jane Austen
THE BIRTHDAY OF THE INFANTA                                       TO                          MRS. WILLIAM H. GRENFELL                              OF TAPLOW COURT                             [LADY DESBOROUGH]  IT was the birthday of the Infanta.,Oscar Wilde
evidently considers possible.,Lewis Caroll
"The matter, as we have said, is of rotten wood, and that upon two considerations: because it is the quality of rotten wood to light in the dark; and secondly, because its cavities are full of worms—which is a type with a pair of handles, having a respect to the two principal qualifications of the orator and the two different fates attending upon his works.",Jonathan Swift
FIRST SOLDIER.,William Shakespeare
I executed my Plan with great Punctuality.,Jane Austen
Receive thy child now.’ But the beggar-woman answered him not a word.,Oscar Wilde
"Grace pressed the blooming face against her cheek, and smiled.",Charles Dickens
VINDEX.,Lewis Caroll
Do you ever kiss Thisbe when Mamma is not near?,Rudyard Kipling
"Warden,"" said Snitchey, ""would be very uncommon indeed.",Charles Dickens
"In hopes of releiving my melancholy, by directing my thoughts to other objects, they have invited several of their freinds to spend the Christmas with us.",Jane Austen
Thisbe shakes the blue velvet Tam-o’-Shanter and says: “O yess”!,Rudyard Kipling
She was here that's certain; she never walked away from here and that's certain.,Mark_Twain
"Surely we will slay him, for he is unworthy to rule over us.’  And the young King bowed his head again, and prayed, and when he had finished his prayer he rose up, and turning round he looked at them sadly.",Oscar Wilde
"Oh, yes.",Rudyard Kipling
Upon which they both resolved without further delay to fall immediately upon reducing the whole exactly after their father’s model.,Jonathan Swift
The guards looked down from the battlements and asked us our business.,Oscar Wilde
"Live a thousand years, I shall not find myself so apt to die.",William Shakespeare
"""Yes I is she here?""",Charles Dickens
"He dropped into a reverie, and presently said to himself: “But what's the use of being afraid of him?",Mark_Twain
"If you give me a bag containing 100 sovereigns, and if in an hour I come to you (my face not beaming with gratitude nearly so much as when I received the bag) to say ""I am sorry to tell you that 70 of these sovereigns are bad,"" do I thereby guarantee the other 30 to be good?",Lewis Caroll
Some of them draw between two and three thousand rupees a month.,Rudyard Kipling
Listen.,Mark_Twain
THE CITY OF DREADFUL NIGHT.,Rudyard Kipling
He had forgiven her then.,Charles Dickens
"But, in (2), the easterly traveller only begins to count after traversing 2-5ths of the journey, i.e., on reaching the 8th post, and so counts 12 posts: similarly the other counts 8.",Lewis Caroll
“But how will Mr and Mrs Grenville bear your absence”?,Jane Austen
"Cake and sherry, a homely rejection, but not within reach upon the Oise, trotted through my head for many a mile; and once, as we were approaching Verberie, the Cigarette brought my heart into my mouth by the suggestion of oyster-patties and Sauterne.",Robert Louis Stevenson
“Good God!,Jane Austen
"She was nothing more than a mere good-tempered, civil and obliging young woman; as such we could scarcely dislike here—she was only an Object of Contempt—.",Jane Austen
"How nice it smells!""",Charles Dickens
"And throughout we had the escort of a hooded cart, which trotted shabbily along the tow-path, and kept at an almost uniform distance in our wake.",Robert Louis Stevenson
Is he then like the rest?,Rudyard Kipling
Brutus hath riv’d my heart.,William Shakespeare
"All men of certain age know the feeling of caged irritation an illustration in the Graphic, a bar of music, or the light words of a friend from home may set it ablaze that comes from the knowledge of our lost heritage of London.",Rudyard Kipling
"Tell me your counsels, I will not disclose ’em.",William Shakespeare
"""Satisfied with what, my dear?""",Charles Dickens
my Dear Marianne such Happiness as I then enjoyed was too perfect to be lasting.,Jane Austen
I am afraid this letter will be but a poor specimen of my Powers in the witty way; and your opinion of them will not be greatly increased when I assure you that I have been as entertaining as I possibly could.,Jane Austen
"An hour and a half has passed, and up to this time we have not crossed our trail once.",Rudyard Kipling
"The arena was then cleared amidst much applause, and the dead hobby-horses dragged solemnly away by two Moorish pages in yellow and black liveries, and after a short interlude, during which a French posture-master performed upon the tightrope, some Italian puppets appeared in the semi-classical tragedy of Sophonisba on the stage of a small theatre that had been built up for the purpose.",Oscar Wilde
We’ll revenge his death.,William Shakespeare
"""One piecee thing that my have got,      Maskee[A] that thing my no can do.",Lewis Caroll
Not to be found!,Jonathan Swift
"""I don't pretend to none.",Charles Dickens
Four what?,Lewis Caroll
What should our three knights do in this momentous affair?,Jonathan Swift
"Britain, who had been paying the profoundest and most melancholy attention to each speaker in his turn, seemed suddenly to decide in favor of the same preference, if a deep sepulchral sound that escaped him might be construed into a demonstration of risibility.",Charles Dickens
BRUTUS.,William Shakespeare
"This table was against one end of the room; the chair was on it; Sherlock Holmes, stately, imposing, impressive, sat in the chair.",Mark_Twain
"And when, at Vadencourt, we launched from a little lawn opposite a mill, the sun broke forth and set all the leaves shining in the valley of the Oise.",Robert Louis Stevenson
I wish it had killed him”.,Mark_Twain
Another general shout?,William Shakespeare
Shall I be frighted when a madman stares?,William Shakespeare
